row_id+o6g3a1:r6,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub-category,product_name,sales,quantity,profit,payment_mode
4918,CA-2019-160304,01-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,Online
4919,CA-2019-160304,02-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,Online
3074,CA-2019-125206,03-01-2019,05-01-2019,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,Online
8604,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,Online
8605,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,Online
8606,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,Cards
9495,CA-2019-105207,03-01-2019,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.346,COD
5868,CA-2019-158211,04-01-2019,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,1,0.584,Online
863,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,COD
864,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,5.248,2,0.5904,Online
865,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,COD
2162,CA-2019-101938,07-01-2019,12-01-2019,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,COD
8031,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,COD
8032,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,25.92,5,9.072,Cards
6852,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,106.05,7,49.8435,Cards
7808,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,Cards
7809,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-AR-10001955,Office Supplies,Art,Newell 319,47.616,3,5.952,COD
7810,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,COD
3702,CA-2019-126543,09-01-2019,13-01-2019,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,Cards
4667,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,Cards
4668,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,COD
